Date,Viable,Unviable,Total,Viability %,,,,,Viability %
5/20/24,"7,600","2,800","10,400",73.1,,,,,73.1
5/21/24,"2,300","7,500","9,800",23.5,,,,,23.5
5/22/24,"3,600","3,500","7,100",50.7,,,,,50.7
5/23/24,"3,400","2,200","5,600",60.7,,,,,60.7
5/24/24,900,"1,900","2,800",32.1,,,,,32.1
5/25/24,"3,100","6,300","9,400",33.0,,,,,33.0
5/26/24,"3,500","3,100","6,600",53.0,,,,,53.0
5/27/24,"2,900","3,400","6,300",46.0,,,,,46.0
5/28/24,"3,360","3,480","6,840",49.1,,,,,49.1
5/29/24,"3,100","4,400","7,500",41.3,,,,,41.3
5/30/24,"2,500","3,300","5,800",43.1,,,,,43.1
5/31/24,"1,600","1,600","3,200",50,,,,,50
